name,id,time,event
jussie smollett@be wear@stars,0,3,"[11.5, 0, 8.25, 0]"
jussie smollett@be wear@stars,0,4,"[11.0, 0, 5.8125, 0]"
jussie smollett@be wear@stars,0,5,"[5.5, 0, 2.8125, 0]"
jussie smollett@be wear@stars,0,6,"[13.0, 0, 3.6875, 0]"
jussie smollett@be wear@stars,0,7,"[3.0, 0, 1.4375, 0]"
jussie smollett@be wear@stars,0,8,"[5.5, 0, 2.875, 0]"
jussie smollett@be wear@stars,0,9,"[0, 0, 0.8125, 0]"
jussie smollett@be wear@stars,0,10,"[0, 0, 0.0625, 0]"
jussie smollett@be wear@stars,0,11,"[1.0, 0, 0.875, 0]"
jussie smollett@be wear@stars,0,12,"[0, 0, 0.25, 0]"
jussie smollett@be wear@stars,0,14,"[0, 0, 0.125, 0]"
jussie smollett@be wear@stars,0,15,"[1.0, 0, 0.875, 0]"
jussie smollett@be wear@stars,0,16,"[1.5, 0, 2.5, 0]"
jussie smollett@be wear@stars,0,17,"[4.5, 0, 4.5, 0]"
jussie smollett@be wear@stars,0,18,"[5.0, 0, 6.4375, 0]"
jussie smollett@be wear@stars,0,19,"[2.0, 0, 3.375, 0]"
jussie smollett@be wear@stars,0,20,"[8.5, 0, 8.9375, 0]"
jussie smollett@be wear@stars,0,21,"[5.5, 0, 7.25, 0]"
jussie smollett@be wear@stars,0,22,"[6.0, 0, 6.375, 0]"
jussie smollett@be wear@stars,0,23,"[7.5, 0, 9.3125, 0]"
jussie smollett@be wear@stars,0,24,"[22.5, 0, 22.8125, 0]"
jussie smollett@be wear@stars,0,25,"[12.5, 0, 18.6875, 0]"
jussie smollett@be wear@stars,0,26,"[4.0, 0, 5.9375, 0]"
jussie smollett@be wear@stars,0,27,"[0, 0, 2.5625, 0]"
jussie smollett@be wear@stars,0,28,"[0.5, 0, 3.8125, 0]"
jussie smollett@be wear@stars,0,29,"[1.5, 0, 1.6875, 0]"
jussie smollett@be wear@stars,0,30,"[1.0, 0, 1.4375, 0]"
jussie smollett@be wear@stars,0,31,"[1.0, 0, 1.9375, 0]"
jussie smollett@be wear@stars,0,32,"[0, 0, 2.25, 0]"
jussie smollett@be wear@stars,0,33,"[0, 0, 0.375, 0]"
jussie smollett@be wear@stars,0,34,"[0, 0, 0.125, 0]"
jussie smollett@be wear@stars,0,35,"[0.5, 0, 0.0625, 0]"
jussie smollett@be wear@stars,0,36,"[1.0, 0, 0.5625, 0]"
jussie smollett@be wear@stars,0,37,"[0.5, 0, 0.375, 0]"
jussie smollett@be wear@stars,0,38,"[1.0, 0, 0.6875, 0]"
jussie smollett@be wear@stars,0,39,"[2.5, 0, 7.8125, 0]"
jussie smollett@be wear@stars,0,40,"[2.5, 0, 6.0, 0]"
jussie smollett@be wear@stars,0,41,"[0, 0, 0.5, 0]"
jussie smollett@be wear@stars,0,42,"[0, 0, 3.0, 0]"
jussie smollett@be wear@stars,0,43,"[1.0, 0, 4.625, 0]"
jussie smollett@be wear@stars,0,44,"[0.5, 0, 1.6875, 0]"
jussie smollett@be wear@stars,0,45,"[0, 0, 3.5625, 0]"
two men@fracture@actor,1,3,"[5.5, 0, 4.25, 3.75]"
two men@fracture@actor,1,4,"[7.5, 0, 3.125, 1.25]"
two men@fracture@actor,1,5,"[0, 0, 1.125, 0]"
two men@fracture@actor,1,6,"[2.5, 0, 1.25, 0]"
two men@fracture@actor,1,7,"[0.5, 0, 0.0625, 0]"
two men@fracture@actor,1,8,"[1.5, 0, 2.4375, 1.25]"
two men@fracture@actor,1,9,"[1.0, 0, 0.1875, 0]"
two men@fracture@actor,1,11,"[0, 0, 0.5, 0]"
two men@fracture@actor,1,15,"[0, 0, 0.25, 0]"
two men@fracture@actor,1,16,"[0, 0, 0.625, 0]"
two men@fracture@actor,1,17,"[1.5, 0, 2.9375, 1.25]"
two men@fracture@actor,1,18,"[3.0, 0, 6.5, 0]"
two men@fracture@actor,1,19,"[2.0, 0, 4.0625, 1.25]"
two men@fracture@actor,1,20,"[3.0, 0, 5.625, 5.0]"
two men@fracture@actor,1,21,"[3.5, 0, 2.75, 1.25]"
two men@fracture@actor,1,22,"[3.5, 0, 2.5625, 1.25]"
two men@fracture@actor,1,23,"[3.0, 0, 3.875, 3.75]"
two men@fracture@actor,1,24,"[9.5, 0, 11.0625, 10.0]"
two men@fracture@actor,1,25,"[3.0, 0, 8.1875, 2.5]"
two men@fracture@actor,1,26,"[0.5, 0, 2.375, 1.25]"
two men@fracture@actor,1,27,"[0, 0, 0.9375, 1.25]"
two men@fracture@actor,1,28,"[0.5, 0, 1.375, 0]"
two men@fracture@actor,1,29,"[0, 0, 0.5, 0]"
two men@fracture@actor,1,30,"[0.5, 0, 0.25, 0]"
two men@fracture@actor,1,31,"[0, 0, 0.5, 0]"
two men@fracture@actor,1,32,"[0.5, 0, 0.8125, 1.25]"
two men@fracture@actor,1,33,"[0, 0, 0.125, 0]"
two men@fracture@actor,1,34,"[0.5, 0, 0.0625, 0]"
two men@fracture@actor,1,36,"[0, 0, 0.25, 0]"
two men@fracture@actor,1,37,"[0.5, 0, 0.3125, 0]"
two men@fracture@actor,1,38,"[0, 0, 0.0625, 0]"
two men@fracture@actor,1,39,"[2.0, 0, 3.125, 6.25]"
two men@fracture@actor,1,40,"[1.5, 0, 1.8125, 3.75]"
two men@fracture@actor,1,41,"[0, 0, 0.125, 1.25]"
two men@fracture@actor,1,42,"[0.5, 0, 1.375, 0]"
two men@fracture@actor,1,43,"[1.0, 0, 2.125, 1.25]"
two men@fracture@actor,1,44,"[1.0, 0, 0.5625, 0]"
two men@fracture@actor,1,45,"[0, 0, 1.625, 2.5]"
comedian@make@racial homophobic slurs,2,3,"[0.5, 0, 0.4375, 0]"
comedian@make@racial homophobic slurs,2,4,"[0, 0, 0.4375, 0]"
comedian@make@racial homophobic slurs,2,5,"[0, 0, 0.0625, 0]"
comedian@make@racial homophobic slurs,2,6,"[0.5, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,8,"[0.5, 0, 0.25, 0]"
comedian@make@racial homophobic slurs,2,9,"[0.5, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,11,"[0, 0, 0.0625, 0]"
comedian@make@racial homophobic slurs,2,15,"[0.5, 0, 0.0625, 0]"
comedian@make@racial homophobic slurs,2,16,"[0, 0, 0.3125, 0]"
comedian@make@racial homophobic slurs,2,17,"[0, 0, 0.375, 0]"
comedian@make@racial homophobic slurs,2,18,"[0, 0, 0.625, 0]"
comedian@make@racial homophobic slurs,2,19,"[0, 0, 0.4375, 0]"
comedian@make@racial homophobic slurs,2,20,"[0, 0, 0.4375, 0]"
comedian@make@racial homophobic slurs,2,21,"[2.5, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,22,"[0, 0, 0.625, 0]"
comedian@make@racial homophobic slurs,2,23,"[0.5, 0, 0.375, 0]"
comedian@make@racial homophobic slurs,2,24,"[0.5, 0, 1.0, 0]"
comedian@make@racial homophobic slurs,2,25,"[0, 0, 0.75, 0]"
comedian@make@racial homophobic slurs,2,26,"[0, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,27,"[0, 0, 0.0625, 0]"
comedian@make@racial homophobic slurs,2,28,"[0.5, 0, 0.1875, 0]"
comedian@make@racial homophobic slurs,2,30,"[0, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,32,"[0, 0, 0.125, 0]"
comedian@make@racial homophobic slurs,2,36,"[0, 0, 0.0625, 0]"
comedian@make@racial homophobic slurs,2,39,"[0.5, 0, 0.25, 0]"
comedian@make@racial homophobic slurs,2,40,"[0, 0, 0.3125, 0]"
comedian@make@racial homophobic slurs,2,42,"[0, 0, 0.1875, 0]"
comedian@make@racial homophobic slurs,2,43,"[0, 0, 0.3125, 0]"
comedian@make@racial homophobic slurs,2,45,"[0, 0, 0.0625, 0]"
jussie smollett@pour@actress,3,3,"[11.5, 0, 8.25, 0]"
jussie smollett@pour@actress,3,4,"[11.0, 0, 5.875, 0]"
jussie smollett@pour@actress,3,5,"[5.5, 0, 2.8125, 0]"
jussie smollett@pour@actress,3,6,"[13.0, 0, 3.6875, 0]"
jussie smollett@pour@actress,3,7,"[3.0, 0, 1.4375, 0]"
jussie smollett@pour@actress,3,8,"[5.5, 0, 2.875, 0]"
jussie smollett@pour@actress,3,9,"[0.5, 0, 0.8125, 0]"
jussie smollett@pour@actress,3,10,"[1.0, 0, 0.125, 0]"
jussie smollett@pour@actress,3,11,"[1.0, 0, 0.875, 0]"
jussie smollett@pour@actress,3,12,"[0, 0, 0.25, 0]"
jussie smollett@pour@actress,3,14,"[0, 0, 0.125, 0]"
jussie smollett@pour@actress,3,15,"[1.0, 0, 0.875, 0]"
jussie smollett@pour@actress,3,16,"[1.5, 0, 2.5625, 0]"
jussie smollett@pour@actress,3,17,"[4.5, 0, 4.5, 0]"
jussie smollett@pour@actress,3,18,"[5.0, 0, 6.4375, 0]"
jussie smollett@pour@actress,3,19,"[2.0, 0, 3.375, 0]"
jussie smollett@pour@actress,3,20,"[8.5, 0, 8.9375, 0]"
jussie smollett@pour@actress,3,21,"[5.5, 0, 7.25, 0]"
jussie smollett@pour@actress,3,22,"[6.0, 0, 6.375, 0]"
jussie smollett@pour@actress,3,23,"[7.5, 0, 9.3125, 0]"
jussie smollett@pour@actress,3,24,"[22.5, 0, 22.8125, 0]"
jussie smollett@pour@actress,3,25,"[12.5, 0, 18.625, 0]"
jussie smollett@pour@actress,3,26,"[4.0, 0, 5.9375, 0]"
jussie smollett@pour@actress,3,27,"[0, 0, 2.5625, 0]"
jussie smollett@pour@actress,3,28,"[0.5, 0, 3.8125, 0]"
jussie smollett@pour@actress,3,29,"[1.5, 0, 1.6875, 0]"
jussie smollett@pour@actress,3,30,"[1.0, 0, 1.4375, 0]"
jussie smollett@pour@actress,3,31,"[1.0, 0, 1.9375, 0]"
jussie smollett@pour@actress,3,32,"[0, 0, 2.25, 0]"
jussie smollett@pour@actress,3,33,"[0, 0, 0.375, 0]"
jussie smollett@pour@actress,3,34,"[0, 0, 0.125, 0]"
jussie smollett@pour@actress,3,35,"[0.5, 0, 0.0625, 0]"
jussie smollett@pour@actress,3,36,"[1.0, 0, 0.5, 1.25]"
jussie smollett@pour@actress,3,37,"[0.5, 0, 0.375, 0]"
jussie smollett@pour@actress,3,38,"[1.0, 0, 0.6875, 0]"
jussie smollett@pour@actress,3,39,"[2.5, 0, 7.8125, 0]"
jussie smollett@pour@actress,3,40,"[2.5, 0, 6.0, 0]"
jussie smollett@pour@actress,3,41,"[0.5, 0, 0.5, 0]"
jussie smollett@pour@actress,3,42,"[0, 0, 3.0, 0]"
jussie smollett@pour@actress,3,43,"[1.0, 0, 4.625, 0]"
jussie smollett@pour@actress,3,44,"[0.5, 0, 1.875, 0]"
jussie smollett@pour@actress,3,45,"[0, 0, 3.5625, 0]"
image@be walk on@new york,4,3,"[0, 0, 0.3125, 0]"
image@be walk on@new york,4,4,"[1.0, 0, 0.0625, 0]"
image@be walk on@new york,4,5,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,7,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,8,"[0, 0, 0.1875, 0]"
image@be walk on@new york,4,9,"[1.0, 0, 0, 0]"
image@be walk on@new york,4,11,"[1.0, 0, 0, 0]"
image@be walk on@new york,4,15,"[0, 0, 0.125, 0]"
image@be walk on@new york,4,16,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,17,"[0, 0, 0.125, 0]"
image@be walk on@new york,4,19,"[0.5, 0, 0, 0]"
image@be walk on@new york,4,20,"[0.5, 0, 0.1875, 0]"
image@be walk on@new york,4,21,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,22,"[1.0, 0, 0.25, 0]"
image@be walk on@new york,4,23,"[1.0, 0, 0.125, 0]"
image@be walk on@new york,4,24,"[4.0, 0, 0.25, 0]"
image@be walk on@new york,4,25,"[0, 0, 0.3125, 0]"
image@be walk on@new york,4,27,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,30,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,32,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,39,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,40,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,42,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,44,"[0, 0, 0.0625, 0]"
image@be walk on@new york,4,45,"[0, 0, 0.125, 0]"
empire@pour@unknown chemical substance,5,3,"[1.5, 0, 1.125, 0]"
empire@pour@unknown chemical substance,5,4,"[0, 0, 0.875, 0]"
empire@pour@unknown chemical substance,5,5,"[0, 0, 0.3125, 0]"
empire@pour@unknown chemical substance,5,6,"[0.5, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,7,"[0, 0, 0.125, 0]"
empire@pour@unknown chemical substance,5,8,"[0, 0, 0.4375, 0]"
empire@pour@unknown chemical substance,5,9,"[0, 0, 0.125, 0]"
empire@pour@unknown chemical substance,5,11,"[1.0, 0, 0.4375, 0]"
empire@pour@unknown chemical substance,5,15,"[0, 0, 0.0625, 0]"
empire@pour@unknown chemical substance,5,16,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,17,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,18,"[1.0, 0, 1.0, 0]"
empire@pour@unknown chemical substance,5,19,"[0, 0, 0.8125, 0]"
empire@pour@unknown chemical substance,5,20,"[0, 0, 1.6875, 0]"
empire@pour@unknown chemical substance,5,21,"[0, 0, 0.6875, 0]"
empire@pour@unknown chemical substance,5,22,"[0, 0, 0.875, 0]"
empire@pour@unknown chemical substance,5,23,"[0.5, 0, 0.9375, 0]"
empire@pour@unknown chemical substance,5,24,"[2.0, 0, 1.75, 0]"
empire@pour@unknown chemical substance,5,25,"[1.0, 0, 2.1875, 0]"
empire@pour@unknown chemical substance,5,26,"[0, 0, 0.875, 0]"
empire@pour@unknown chemical substance,5,27,"[0, 0, 0.375, 0]"
empire@pour@unknown chemical substance,5,28,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,29,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,30,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,32,"[0, 0, 0.25, 0]"
empire@pour@unknown chemical substance,5,36,"[0, 0, 0.125, 0]"
empire@pour@unknown chemical substance,5,37,"[0, 0, 0.0625, 0]"
empire@pour@unknown chemical substance,5,39,"[0.5, 0, 1.0, 0]"
empire@pour@unknown chemical substance,5,40,"[1.0, 0, 1.0, 0]"
empire@pour@unknown chemical substance,5,42,"[0, 0, 0.5625, 0]"
empire@pour@unknown chemical substance,5,43,"[0, 0, 0.8125, 0]"
empire@pour@unknown chemical substance,5,44,"[0, 0, 0.125, 0]"
empire@pour@unknown chemical substance,5,45,"[0.5, 0, 0.375, 0]"
sun@show@kangaroo point cliffs,6,3,"[0, 43.47826086956522, 0.125, 0]"
sun@show@kangaroo point cliffs,6,6,"[0, 0, 0.0625, 0]"
sun@show@kangaroo point cliffs,6,18,"[0.5, 43.47826086956522, 0.125, 0]"
sun@show@kangaroo point cliffs,6,21,"[0, 0, 0.0625, 0]"
sun@show@kangaroo point cliffs,6,22,"[0, 43.47826086956522, 0.125, 0]"
sun@show@kangaroo point cliffs,6,25,"[0, 43.47826086956522, 0.125, 0]"
sun@show@kangaroo point cliffs,6,29,"[0, 43.47826086956522, 0.125, 0]"
man@be wear@woman,7,3,"[2.5, 0, 0.5, 1.25]"
man@be wear@woman,7,4,"[3.0, 0, 0.4375, 0]"
man@be wear@woman,7,6,"[0, 0, 0.0625, 0]"
man@be wear@woman,7,8,"[0, 0, 0.3125, 0]"
man@be wear@woman,7,9,"[0, 0, 0.1875, 0]"
man@be wear@woman,7,11,"[0.5, 0, 0, 0]"
man@be wear@woman,7,14,"[2.0, 0, 0, 0]"
man@be wear@woman,7,17,"[0, 0, 0.125, 0]"
man@be wear@woman,7,18,"[0, 0, 0.4375, 0]"
man@be wear@woman,7,19,"[0, 0, 0.1875, 0]"
man@be wear@woman,7,21,"[1.0, 0, 0.375, 0]"
man@be wear@woman,7,22,"[0.5, 0, 0.5, 1.25]"
man@be wear@woman,7,23,"[0.5, 0, 0.0625, 0]"
man@be wear@woman,7,24,"[0, 0, 0.5, 0]"
man@be wear@woman,7,25,"[0.5, 0, 0.75, 1.25]"
man@be wear@woman,7,26,"[0, 0, 0.1875, 0]"
man@be wear@woman,7,27,"[0, 0, 0.25, 0]"
