name,id,time,event
two_men@pour@racial_homophobic,0,2,"[0.6976744186046512, 11.11111111111111, 0.3333333333333333, 0]"
two_men@pour@racial_homophobic,0,3,"[0.46511627906976744, 11.11111111111111, 0.6666666666666666, 0]"
two_men@pour@racial_homophobic,0,4,"[0.23255813953488372, 0, 0.39999999999999997, 0]"
two_men@pour@racial_homophobic,0,5,"[0, 0, 0.13333333333333333, 0]"
two_men@pour@racial_homophobic,0,6,"[0.23255813953488372, 11.11111111111111, 0.3333333333333333, 0]"
two_men@pour@racial_homophobic,0,8,"[0, 0, 0.26666666666666666, 0]"
two_men@pour@racial_homophobic,0,14,"[0, 0, 0.06666666666666667, 0]"
two_men@pour@racial_homophobic,0,15,"[0, 11.11111111111111, 0.13333333333333333, 0]"
two_men@pour@racial_homophobic,0,16,"[0, 11.11111111111111, 0.13333333333333333, 0]"
two_men@pour@racial_homophobic,0,17,"[0, 11.11111111111111, 0.6666666666666666, 0]"
two_men@pour@racial_homophobic,0,18,"[1.3953488372093024, 11.11111111111111, 1.7999999999999998, 0]"
two_men@pour@racial_homophobic,0,19,"[0.23255813953488372, 11.11111111111111, 1.2666666666666666, 0]"
two_men@pour@racial_homophobic,0,20,"[0, 11.11111111111111, 1.2, 0]"
two_men@pour@racial_homophobic,0,21,"[0.46511627906976744, 11.11111111111111, 0.9999999999999999, 0]"
two_men@pour@racial_homophobic,0,22,"[0, 11.11111111111111, 0.7999999999999999, 33.333333333333336]"
two_men@pour@racial_homophobic,0,23,"[0.9302325581395349, 11.11111111111111, 1.5333333333333332, 16.666666666666668]"
two_men@pour@racial_homophobic,0,24,"[2.0930232558139537, 11.11111111111111, 2.733333333333335, 16.666666666666668]"
two_men@pour@racial_homophobic,0,25,"[1.1627906976744187, 11.11111111111111, 1.5333333333333332, 16.666666666666668]"
two_men@pour@racial_homophobic,0,26,"[0, 0, 0.3333333333333333, 16.666666666666668]"
two_men@pour@racial_homophobic,0,27,"[0.23255813953488372, 0, 0.3333333333333333, 0]"
two_men@pour@racial_homophobic,0,28,"[0, 11.11111111111111, 0.39999999999999997, 16.666666666666668]"
two_men@pour@racial_homophobic,0,30,"[0, 11.11111111111111, 0, 0]"
two_men@pour@racial_homophobic,0,32,"[0, 0, 0.26666666666666666, 0]"
two_men@pour@racial_homophobic,0,34,"[0, 0, 0.06666666666666667, 0]"
two_men@pour@racial_homophobic,0,36,"[0, 0, 0.06666666666666667, 0]"
two_men@pour@racial_homophobic,0,39,"[0, 11.11111111111111, 0.7333333333333333, 0]"
two_men@pour@racial_homophobic,0,40,"[0.23255813953488372, 0, 0.7333333333333333, 16.666666666666668]"
two_men@pour@racial_homophobic,0,41,"[0, 0, 0.39999999999999997, 0]"
two_men@pour@racial_homophobic,0,43,"[0, 11.11111111111111, 0.39999999999999997, 0]"
two_men@pour@racial_homophobic,0,45,"[0, 11.11111111111111, 0.39999999999999997, 0]"
congress@have a lot of@urgency,1,3,"[0.23255813953488372, 0, 0, 0]"
congress@have a lot of@urgency,1,4,"[0.23255813953488372, 11.11111111111111, 0, 0]"
congress@have a lot of@urgency,1,8,"[0, 0, 0.06666666666666667, 0]"
congress@have a lot of@urgency,1,18,"[0.23255813953488372, 0, 0.06666666666666667, 0]"
congress@have a lot of@urgency,1,19,"[0.23255813953488372, 0, 0, 0]"
congress@have a lot of@urgency,1,20,"[0, 11.11111111111111, 0, 0]"
congress@have a lot of@urgency,1,21,"[0, 11.11111111111111, 0.06666666666666667, 0]"
congress@have a lot of@urgency,1,22,"[0.23255813953488372, 0, 0, 0]"
congress@have a lot of@urgency,1,24,"[0.46511627906976744, 11.11111111111111, 0.13333333333333333, 0]"
congress@have a lot of@urgency,1,25,"[0.23255813953488372, 0, 0.06666666666666667, 0]"
congress@have a lot of@urgency,1,27,"[0.46511627906976744, 0, 0, 0]"
congress@have a lot of@urgency,1,30,"[0, 0, 0.13333333333333333, 0]"
congress@have a lot of@urgency,1,31,"[0, 0, 0.06666666666666667, 0]"
congress@have a lot of@urgency,1,43,"[0, 0, 0.06666666666666667, 0]"
jussie_smollett@play@jamal_lyon,2,2,"[5.116279069767444, 11.11111111111111, 2.266666666666667, 0]"
jussie_smollett@play@jamal_lyon,2,3,"[5.348837209302328, 11.11111111111111, 3.400000000000004, 0]"
jussie_smollett@play@jamal_lyon,2,4,"[4.88372093023256, 11.11111111111111, 2.933333333333336, 0]"
jussie_smollett@play@jamal_lyon,2,5,"[0.6976744186046512, 11.11111111111111, 0.3333333333333333, 0]"
jussie_smollett@play@jamal_lyon,2,6,"[2.0930232558139537, 0, 0.9333333333333332, 0]"
jussie_smollett@play@jamal_lyon,2,7,"[0.23255813953488372, 11.11111111111111, 0.26666666666666666, 0]"
jussie_smollett@play@jamal_lyon,2,8,"[1.1627906976744187, 0, 0.7333333333333333, 0]"
jussie_smollett@play@jamal_lyon,2,9,"[0.6976744186046512, 0, 0.2, 0]"
jussie_smollett@play@jamal_lyon,2,10,"[0.46511627906976744, 0, 0.3333333333333333, 0]"
jussie_smollett@play@jamal_lyon,2,14,"[0.46511627906976744, 0, 0.26666666666666666, 0]"
jussie_smollett@play@jamal_lyon,2,15,"[1.1627906976744187, 0, 0.9333333333333332, 0]"
jussie_smollett@play@jamal_lyon,2,16,"[2.3255813953488373, 0, 1.5333333333333332, 0]"
jussie_smollett@play@jamal_lyon,2,17,"[3.7209302325581395, 0, 2.733333333333335, 0]"
jussie_smollett@play@jamal_lyon,2,18,"[3.953488372093023, 0, 4.133333333333338, 0]"
jussie_smollett@play@jamal_lyon,2,19,"[0.6976744186046512, 0, 2.0666666666666664, 0]"
jussie_smollett@play@jamal_lyon,2,20,"[5.581395348837212, 11.11111111111111, 5.200000000000001, 0]"
jussie_smollett@play@jamal_lyon,2,21,"[4.418604651162791, 0, 6.733333333333329, 0]"
jussie_smollett@play@jamal_lyon,2,22,"[6.511627906976749, 0, 4.733333333333336, 0]"
jussie_smollett@play@jamal_lyon,2,23,"[5.348837209302328, 11.11111111111111, 8.266666666666657, 0]"
